City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,278.02,95,20,1.54,GB,1711593577
1,nuku'alofa,-21.1333,-175.2,300.34,94,100,4.12,TO,1711593441
2,narasannapeta,18.4167,84.05,302.78,60,2,3.17,IN,1711593578
3,edinburgh of the seven seas,-37.0676,-12.3116,292.93,88,100,12.16,SH,1711593578
4,port-aux-francais,-49.35,70.2167,279.17,87,100,12.82,TF,1711593322
5,iqaluit,63.7506,-68.5145,255.0,71,0,1.54,CA,1711593578
6,adamstown,-25.066,-130.1015,297.84,72,70,5.14,PN,1711593578
7,walvis bay,-22.9575,14.5053,288.2,81,0,2.69,NA,1711593389
8,severo-yeniseyskiy,60.3725,93.0408,262.36,93,80,0.89,RU,1711593578
9,yabelo,4.8833,38.0833,288.86,67,44,2.7,ET,1711593578
10,blackmans bay,-43.0167,147.3167,292.44,51,84,1.34,AU,1711593579
11,bela,25.9333,81.9833,303.38,20,28,0.49,IN,1711593579
12,kodiak,57.79,-152.4072,274.88,64,100,4.12,US,1711593579
13,ribeira grande,38.5167,-28.7,283.02,77,96,4.47,PT,1711593579
14,ambatofinandrahana,-20.55,46.8,288.76,89,99,1.79,MG,1711593579
15,waingapu,-9.6567,120.2641,302.69,72,44,1.49,ID,1711593579
16,lebu,-37.6167,-73.65,286.74,92,5,6.2,CL,1711593579
17,west island,-12.1568,96.8225,302.14,74,91,4.12,CC,1711593579
18,vershino-darasunskiy,52.35,115.5167,265.83,63,100,8.44,RU,1711593580
19,srivardhan,18.0333,73.0167,300.66,67,79,2.61,IN,1711593580
20,port elizabeth,-33.918,25.5701,293.2,94,100,1.03,ZA,1711593580
21,chuhuyiv,49.8359,36.688,276.66,78,62,2.64,UA,1711593580
22,kuqa,41.7278,82.9364,289.3,22,100,1.29,CN,1711593580
23,punta arenas,-53.15,-70.9167,283.21,81,0,3.6,CL,1711593580
24,nar'yan-mar,67.6713,53.087,254.88,99,100,2.68,RU,1711593580
25,mount isa,-20.7333,139.5,302.02,61,40,3.09,AU,1711593581
26,margaret river,-33.95,115.0667,294.23,54,0,3.94,AU,1711593483
27,longyearbyen,78.2186,15.6401,268.06,74,100,5.14,SJ,1711593581
28,yuzhno-kurilsk,44.0306,145.8556,274.47,74,4,2.91,RU,1711593581
29,yellowknife,62.456,-114.3525,267.44,45,20,1.03,CA,1711593581
30,borba,-4.3878,-59.5939,296.63,98,100,0.72,BR,1711593581
31,keflavik,64.0049,-22.5624,270.39,68,0,3.6,IS,1711593581
32,avarua,-21.2078,-159.775,302.18,79,40,2.06,CK,1711593581
33,tiksi,71.6872,128.8694,252.55,86,100,2.7,RU,1711593582
34,tolanaro,-25.0319,46.9987,295.19,94,75,4.12,MG,1711593582
35,chonchi,-42.6128,-73.8092,282.71,91,73,0.58,CL,1711593582
36,hermanus,-34.4187,19.2345,290.26,87,53,4.25,ZA,1711593582
37,aasiaat,68.7098,-52.8699,258.57,95,99,1.99,GL,1711593582
38,grytviken,-54.2811,-36.5092,277.25,92,68,5.72,GS,1711593582
39,klyuchi,52.2667,79.1667,275.09,95,96,2.45,RU,1711593582
40,callao,-12.0667,-77.15,299.1,73,0,7.72,PE,1711593562
41,masterton,-40.9597,175.6575,288.64,65,100,7.7,NZ,1711593582
42,east london,-33.0153,27.9116,293.4,87,98,0.78,ZA,1711593582
43,enewetak,11.3474,162.3373,300.04,77,98,7.84,MH,1711593583
44,rosso,16.4986,-15.8153,294.13,52,35,4.65,SN,1711593583
45,pacific grove,36.6177,-121.9166,286.85,85,100,7.6,US,1711593414
46,yola,9.2,12.4833,301.94,13,100,1.41,NG,1711593583
47,la passe,45.5549,-0.8967,280.36,71,98,12.77,FR,1711593583
48,bethel,41.3712,-73.414,282.54,87,100,0.0,US,1711593583
49,kayes,14.0,-11.0,302.25,20,5,3.73,ML,1711593583
50,portland,45.5234,-122.6762,282.5,91,100,3.13,US,1711593544
51,alofi,-19.0595,-169.9187,301.09,89,75,1.54,NU,1711593584
52,college,64.8569,-147.8028,277.33,59,75,2.06,US,1711593584
53,codrington,-38.2667,141.9667,292.27,54,62,5.19,AU,1711593584
54,sainte-anne-des-monts,49.124,-66.4924,274.08,93,100,1.03,CA,1711593584
55,albany,42.6001,-73.9662,281.78,82,100,0.45,US,1711592967
